title,original_price,sale_price,upper,ground,len_score,foot_score,weight(g),image_url,url,silo_x,brand,silo_y,silo_kor,position1,position2,position3,feature
미즈노 알파 II 셀렉트 AG 와이드  ,119000,85000,"인조가죽, 합성가죽",인조잔디,2.0,2.0,216,https://www.crazy11.co.kr/shopimages/winv007/001002001099.jpg?1743672341,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809855&xcode=257&mcode=003&scode=004&type=Y&sort=order&cur_code=257&search=&GfDT=bm57W19N,알파,mizuno,alpha,알파,FW, MF,,speed
미즈노 알파 II 셀렉트 MD ,119000,79000,"인조가죽, 합성가죽","천연잔디, 인조잔디, 맨땅",2.0,3.0,199,https://www.crazy11.co.kr/shopimages/winv007/001002001098.jpg?1743672014,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809854&xcode=257&mcode=003&scode=004&type=Y&sort=order&cur_code=257&search=&GfDT=bm14W1w%3D,알파,mizuno,alpha,알파,FW, MF,,speed
미즈노 알파 II 엘리트 AG ,229000,159000,"인조가죽, 합성가죽",인조잔디,3.0,3.0,183,https://www.crazy11.co.kr/shopimages/winv007/001002001096.jpg?1743671393,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809851&xcode=257&mcode=003&scode=004&type=Y&sort=order&cur_code=257&search=&GfDT=bGZ3Uw%3D%3D,알파,mizuno,alpha,알파,FW, MF,,speed
미즈노 알파 II 프로 MD ,179000,129000,"인조가죽, 합성가죽","천연잔디, 인조잔디, 맨땅",3.0,3.0,190,https://www.crazy11.co.kr/shopimages/winv007/001002001097.jpg?1743671791,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809853&xcode=257&mcode=003&scode=004&type=Y&sort=order&cur_code=257&search=&GfDT=a213UA%3D%3D,알파,mizuno,alpha,알파,FW, MF,,speed
미즈노 알파 JP  ,309000,209000,합성가죽,"천연잔디, 인조잔디, 맨땅",2.0,4.0,180,https://www.crazy11.co.kr/shopimages/winv007/001002001027.jpg?1740624428,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=807706&xcode=257&mcode=003&scode=004&type=Y&sort=order&cur_code=257&search=&GfDT=bGl3UQ%3D%3D,알파,mizuno,alpha,알파,FW, MF,,speed
미즈노 알파 셀렉트 MD ,119000,79000,인조가죽,"천연잔디, 인조잔디",3.0,2.0,215,https://www.crazy11.co.kr/shopimages/winv007/001002001025.jpg?1740624434,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=807573&xcode=257&mcode=003&scode=004&type=Y&sort=order&cur_code=257&search=&GfDT=bmx8W1k%3D,알파,mizuno,alpha,알파,FW, MF,,speed
아디다스 F50 리그 FGMG ,119000,69000,합성가죽,"천연잔디, 인조잔디, 맨땅",3.0,2.0,209,https://www.crazy11.co.kr/shopimages/winv007/001005003190.jpg?1740624398,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808379&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=Zmx3U14%3D,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 리그 FGMG 메시 ,129000,79000,합성가죽,"천연잔디, 인조잔디, 맨땅",3.0,2.0,209,https://www.crazy11.co.kr/shopimages/winv007/001005003204.jpg?1740624382,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808578&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bm96W19N,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 리그 LL FGMG ,129000,75000,합성가죽,"천연잔디, 인조잔디, 맨땅",4.0,3.0,198,https://www.crazy11.co.kr/shopimages/winv007/001005003187.jpg?1740624397,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808353&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=aWh3U1k%3D,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 리그 MG,109000,69000,합성가죽,"천연잔디, 인조잔디, 맨땅",3.0,3.0,221,https://www.crazy11.co.kr/shopimages/winv007/001005003218.jpg?1740624342,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809306&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bml4W1o%3D,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 리그 MG ,109000,69000,합성가죽,"천연잔디, 인조잔디, 맨땅",3.0,3.0,221,https://www.crazy11.co.kr/shopimages/winv007/001005003238.jpg?1743405720,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809803&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bmx1W1o%3D,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 리그 MID FGMG ,109000,71000,합성가죽,"천연잔디, 인조잔디, 맨땅",3.0,3.0,,https://www.crazy11.co.kr/shopimages/winv007/001005003225.jpg?1740624333,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809375&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bmp1W19H,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 엘리트 AG  ,319000,239000,합성가죽,인조잔디,3.0,3.0,158,https://www.crazy11.co.kr/shopimages/winv007/001005003210.jpg?1740624346,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809171&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bm9%2BW11C,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 엘리트 AG 2G3G  ,289000,149000,합성가죽,인조잔디,3.0,3.0,244,https://www.crazy11.co.kr/shopimages/winv007/001005003189.jpg?1740624398,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808369&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bmt8W15H,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 엘리트 FG  ,319000,235000,"인조가죽, 합성가죽",천연잔디,3.0,3.0,163,https://www.crazy11.co.kr/shopimages/winv007/001005003240.jpg?1743739420,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809889&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=a2Z3UlQ%3D,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 엘리트 FG 메시  ,319000,225000,"인조가죽, 합성가죽",천연잔디,3.0,3.0,163,https://www.crazy11.co.kr/shopimages/winv007/001005003245.jpg?1744942430,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=810027&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bm1%2FW1Q%3D,F50,adidas,F50,F50,FW, MF,,speed
