,Unnamed: 0,position,country,name,club,boots,age,height,name_ko,id,team_name,eng_name,color,img,boots_ko,boots_img,img_src,country_ko,position_ko
971,971,Defender,Colombia,Jhon Lucumí,Bologna FC 1909,Nike Phantom GX Elite,26,187,존 루쿠미,291231207,볼로냐,Bologna FC 1909,#102880,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p291231207.png,나이키 팬텀 GX Elite,https://www.footballbootsdb.com/logos/boots/2023/10/652e666a3026d.png,https://images.fotmob.com/image_resources/logo/teamlogo/9857.png,🇨🇴 콜롬비아,수비수
972,972,Midfielder,Colombia,Jhon Solís,Girona FC,Nike Mercurial Superfly 10 Elite,20,186,존 솔리스,300267894,지로나,Girona FC,#CF152D,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p267894.png,나이키 머큐리얼 슈퍼플라이 10 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/6719678447fdd.png,https://images.fotmob.com/image_resources/logo/teamlogo/7732.png,🇨🇴 콜롬비아,미드필더
973,973,Defender,South Korea,Ji-soo Kim,Brentford FC,Nike Phantom GX 2 Elite,20,192,김지수,300267844,브렌트퍼드,Brentford FC,#C00808,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p267844.png,나이키 팬텀 GX 2 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/67196d100cf15.png,https://images.fotmob.com/image_resources/logo/teamlogo/9937.png,🇰🇷 대한민국,수비수
974,974,Forward,Gabon,Jim Allevinah,Angers SCO,Nike Mercurial Vapor 15 Elite,29,172,짐 알레비나,300251191,앙제,Angers SCO,#000000,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p251191.png,나이키 머큐리얼 베이퍼 15 Elite,https://www.footballbootsdb.com/logos/boots/2024/05/664d019fb62c0.png,https://images.fotmob.com/image_resources/logo/teamlogo/8121.png,🇬🇦 가봉,공격수
975,975,Defender,Denmark,Joachim Andersen,Fulham,Puma Future 7 Ultimate,28,192,요아킴 안데르센,826224221,풀럼,Fulham,#000000,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p826224221.png,퓨마 퓨처 7 Ultimate,https://www.footballbootsdb.com/logos/boots/2024/10/6703aad2e6ebd.png,https://images.fotmob.com/image_resources/logo/teamlogo/9879.png,🇩🇰 덴마크,수비수
976,976,Defender,Denmark,Joakim Maehle,VfL Wolfsburg,adidas F50 Elite,27,185,요아킴 멜레,242234678,볼프스부르크,VfL Wolfsburg,#65B32E,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p242234678.png,아디다스 F50 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed858132958.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8721.png,🇩🇰 덴마크,수비수
977,977,Goalkeeper,Spain,Joan García,RCD Espanyol,adidas Predator Elite,23,191,조안 가르시아,300259532,에스파뇰,RCD Espanyol,#1954B2,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p259532.png,아디다스 프레데터 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed8e8e33c30.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8558.png,🇪🇸 스페인,골키퍼
978,978,Midfielder,Spain,Joan González,US Lecce,adidas Predator Accuracy.1 L,23,190,조안 곤살레스,300271196,레체,US Lecce,#E12300,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p271196.png,아디다스 프레데터 애큐러시.1 L,https://www.footballbootsdb.com/logos/boots/2023/10/652577f62c64a.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/9888.png,🇪🇸 스페인,미드필더
979,979,Midfielder,Spain,Joan Jordán,Deportivo Alavés,adidas Copa Pure 2 Elite,30,185,조안 조르단,242224309,알라베스,Deportivo Alavés,#0351A3,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p242224309.png,아디다스 코파 퓨어 2 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed99b4c3f73.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/9866.png,🇪🇸 스페인,미드필더
980,980,Forward,Portugal,João Félix,AC Milan,adidas F50 Elite,25,181,주앙 펠릭스,215242444,AC 밀란,AC Milan,#CF2C27,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p242444.png,아디다스 F50 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed858132958.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8564.png,🇵🇹 포르투갈,공격수
981,981,Midfielder,Brazil,João Gomes,Wolves,Nike Tiempo Legend 10 Elite,24,176,주앙 고메스,300273463,울버햄튼 원더러스,Wolves,#EB9504,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p273463.png,나이키 티엠포 레전드 10 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/67196ae75b2b2.png,https://images.fotmob.com/image_resources/logo/teamlogo/8602.png,🇧🇷 브라질,미드필더
982,982,Midfielder,Portugal,João Neves,Paris Saint-Germain,Nike Phantom GX 2 Elite,20,174,주앙 네베스,300272834,파리 생제르맹,Paris Saint-Germain,#273F6D,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p272834.png,나이키 팬텀 GX 2 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/67196d100cf15.png,https://images.fotmob.com/image_resources/logo/teamlogo/9847.png,🇵🇹 포르투갈,미드필더
983,983,Midfielder,Portugal,João Palhinha,Bayern München,adidas Copa Pure 2 Elite KT,29,190,주앙 팔리냐,826229391,바이에른 뮌헨,Bayern München,#C60428,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p826229391.png,아디다스 코파 퓨어 2 Elite KT,https://www.footballbootsdb.com/logos/boots/2024/09/66ed97ff1268a.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/9823.png,🇵🇹 포르투갈,미드필더
984,984,Forward,Brazil,João Pedro,Brighton & Hove Albion,adidas F50 Elite,23,182,주앙 페드루,276252042,브라이턴 앤 호브,Brighton & Hove Albion,#0850A0,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p276252042.png,아디다스 F50 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed858132958.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/10204.png,🇧🇷 브라질,공격수
985,985,Goalkeeper,Portugal,João Virgínia,Everton,Puma Future 7 Ultimate,25,192,주앙 비르지니아,260237704,에버턴,Everton,#0035B8,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p237704.png,퓨마 퓨처 7 Ultimate,https://www.footballbootsdb.com/logos/boots/2024/10/6703aad2e6ebd.png,https://images.fotmob.com/image_resources/logo/teamlogo/8668.png,🇵🇹 포르투갈,골키퍼
986,986,Forward,Argentina,Joaquín Correa,Inter,adidas F50 Elite,30,188,호아킨 코레아,215215330,인테르 밀라노,Inter,#010E80,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p215215330.png,아디다스 F50 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed858132958.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8636.png,🇦🇷 아르헨티나,공격수
987,987,Midfielder,Nigeria,Joe Aribo,Southampton,Nike Tiempo Legend 10 Elite,28,183,조 아리보,300231044,사우샘프턴,Southampton,#D71920,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p231044.png,나이키 티엠포 레전드 10 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/67196ae75b2b2.png,https://images.fotmob.com/image_resources/logo/teamlogo/8466.png,🇳🇬 나이지리아,미드필더
988,988,Defender,England,Joe Gomez,Liverpool,adidas Predator Elite,27,188,조 고메스,217225100,리버풀,Liverpool,#911712,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p225100.png,아디다스 프레데터 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed8e8e33c30.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8650.png,🇬🇧 영국,수비수
989,989,Goalkeeper,England,Joe Lumley,Southampton,Nike Mercurial Vapor 15 Elite,30,190,조 럼리,300217096,사우샘프턴,Southampton,#D71920,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p217096.png,나이키 머큐리얼 베이퍼 15 Elite,https://www.footballbootsdb.com/logos/boots/2024/05/664d019fb62c0.png,https://images.fotmob.com/image_resources/logo/teamlogo/8466.png,🇬🇧 영국,골키퍼
990,990,Defender,United States,Joe Scally,Borussia Mönchengladbach,Nike Mercurial Vapor 14 Elite,22,184,조 스칼리,804243133,글라트바흐,Borussia Mönchengladbach,#417E37,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p804243133.png,나이키 머큐리얼 베이퍼 14 Elite,https://www.footballbootsdb.com/logos/boots/2022/06/62b43c83c267f.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/9788.png,🇺🇸 미국,수비수
991,991,Midfielder,England,Joe Willock,Newcastle United,Nike Mercurial Vapor XII Elite,25,186,조 윌록,291237329,뉴캐슬 유나이티드,Newcastle United,#141413,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p291237329.png,나이키 머큐리얼 베이퍼 XII Elite,https://www.footballbootsdb.com/logos/boots/232/3.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/10261.png,🇬🇧 영국,미드필더
992,992,Forward,Finland,Joel Pohjanpalo,Venezia FC,Mizuno Morelia Neo IV Beta Japan,30,186,요엘 포얀팔로,300220165,베네치아,Venezia FC,#101010,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p220165.png,미즈노 모렐리아 네오 IV 베타 Japan,https://www.footballbootsdb.com/logos/boots/2024/07/669925dd66af2.png,https://images.fotmob.com/image_resources/logo/teamlogo/7881.png,🇫🇮 핀란드,공격수
993,993,Defender,Netherlands,Joël Veltman,Brighton & Hove Albion,Nike Tiempo Legend 9 Elite,33,184,요엘 벨트만,829208004,브라이턴 앤 호브,Brighton & Hove Albion,#0850A0,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p829208004.png,나이키 티엠포 레전드 9 Elite,https://www.footballbootsdb.com/logos/boots/2023/06/64906276a1019.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/10204.png,🇳🇱 네덜란드,수비수
994,994,Defender,England,Joel Ward,Crystal Palace,adidas Predator Elite,35,186,조엘 워드,216186392,크리스털 팰리스,Crystal Palace,#0055A5,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p216186392.png,아디다스 프레데터 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed8e8e33c30.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/9826.png,🇬🇧 영국,수비수
995,995,Midfielder,Brazil,Joelinton,Newcastle United,adidas Predator Elite LL,28,186,조엘링통,291223334,뉴캐슬 유나이티드,Newcastle United,#141413,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p291223334.png,아디다스 프레데터 Elite LL,https://www.footballbootsdb.com/logos/boots/2024/09/66ed90b7735d2.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/10261.png,🇧🇷 브라질,미드필더
996,996,Forward,Spain,Jofre Carreras,RCD Espanyol,adidas X Crazyfast Elite LL,23,175,조프레 카레라스,300258949,에스파뇰,RCD Espanyol,#1954B2,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p258949.png,아디다스 X 크레이지페스트 Elite LL,https://www.footballbootsdb.com/logos/boots/2024/04/660adfc293558.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/8558.png,🇪🇸 스페인,공격수
997,997,Defender,Colombia,Johan Mojica,RCD Mallorca,Nike Mercurial Superfly 9 Elite,32,185,요한 모히카,206214026,마요르카,RCD Mallorca,#C2071F,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p214026.png,나이키 머큐리얼 슈퍼플라이 9 Elite,https://www.footballbootsdb.com/logos/boots/2024/05/664d009d3fbdc.png,https://images.fotmob.com/image_resources/logo/teamlogo/8661.png,🇨🇴 콜롬비아,수비수
998,998,Defender,Mexico,Johan Vásquez,Genoa CFC,Nike Tiempo Legend 10 Elite,26,185,요한 바스케스,826244349,제노아,Genoa CFC,CB1111,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p244349.png,나이키 티엠포 레전드 10 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/67196ae75b2b2.png,https://images.fotmob.com/image_resources/logo/teamlogo/10233.png,🇲🇽 멕시코,수비수
999,999,Midfielder,France,Johann Lepenant,FC Nantes,adidas Predator Elite LL,22,176,요한 르페낭,300258619,낭트,FC Nantes,#D1A302,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p258619.png,아디다스 프레데터 Elite LL,https://www.footballbootsdb.com/logos/boots/2024/09/66ed90b7735d2.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/9830.png,🇫🇷 프랑스,미드필더
1000,1000,Midfielder,Scotland,John McGinn,Aston Villa,Nike Phantom GX 2 Elite,30,178,존 맥긴,291210881,애스턴 빌라,Aston Villa,#7D1142,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p291210881.png,나이키 팬텀 GX 2 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/67196d100cf15.png,https://images.fotmob.com/image_resources/logo/teamlogo/10252.png,🇬🇧 스코틀랜드,미드필더
1001,1001,Midfielder,Ireland,John Patrick,Stade de Reims,Puma Future 6.1 Netfit,21,192,존 패트릭,300260195,랭스,Stade de Reims,#FF4C4C,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p260195.png,퓨마 퓨처 6.1 Netfit,https://www.footballbootsdb.com/logos/boots/2020/09/5f68d226cf68e.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/9837.png,🇮🇪 아일랜드,미드필더
1002,1002,Goalkeeper,England,John Ruddy,Newcastle United,adidas Copa Pure 2 Elite,38,192,존 러디,300163600,뉴캐슬 유나이티드,Newcastle United,#141413,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/players/p163600.png,아디다스 코파 퓨어 2 Elite,https://www.footballbootsdb.com/logos/boots/2024/09/66ed99b4c3f73.jpg,https://images.fotmob.com/image_resources/logo/teamlogo/10261.png,🇬🇧 영국,골키퍼
1003,1003,Defender,England,John Stones,Manchester City,Nike Phantom GX 2 Elite,30,188,존 스톤스,206203574,맨체스터 시티,Manchester City,#69A8D8,https://fco.dn.nexoncdn.co.kr/live/externalAssets/common/playersAction/p203574.png,나이키 팬텀 GX 2 Elite,https://www.footballbootsdb.com/logos/boots/2024/10/67196d100cf15.png,https://images.fotmob.com/image_resources/logo/teamlogo/8456.png,🇬🇧 영국,수비수
